Iteration Times, 324, Error, 0.825453, MSE, 0.263308
Iteration Times, 325, Error, 0.816105, MSE, 0.263126
Iteration Times, 326, Error, 0.818348, MSE, 0.262946
Iteration Times, 327, Error, 0.809271, MSE, 0.262761
Iteration Times, 328, Error, 0.806372, MSE, 0.262574
Iteration Times, 329, Error, 0.807580, MSE, 0.262390
Iteration Times, 330, Error, 0.801987, MSE, 0.262203
Iteration Times, 331, Error, 0.797415, MSE, 0.262013
Iteration Times, 332, Error, 0.794653, MSE, 0.261822
Iteration Times, 333, Error, 0.790122, MSE, 0.261629
Iteration Times, 334, Error, 0.787198, MSE, 0.261435
Iteration Times, 335, Error, 0.777128, MSE, 0.261234
Iteration Times, 336, Error, 0.779425, MSE, 0.261037
Iteration Times, 337, Error, 0.780676, MSE, 0.260841
Iteration Times, 338, Error, 0.767130, MSE, 0.260637
Iteration Times, 339, Error, 0.771804, MSE, 0.260437
Iteration Times, 340, Error, 0.760436, MSE, 0.260230
Iteration Times, 341, Error, 0.757775, MSE, 0.260023
Iteration Times, 342, Error, 0.759506, MSE, 0.259818
Iteration Times, 343, Error, 0.752807, MSE, 0.259609
Iteration Times, 344, Error, 0.748307, MSE, 0.259398
Iteration Times, 345, Error, 0.740782, MSE, 0.259183
Iteration Times, 346, Error, 0.747769, MSE, 0.258974
Iteration Times, 347, Error, 0.733610, MSE, 0.258756
Iteration Times, 348, Error, 0.731664, MSE, 0.258538
Iteration Times, 349, Error, 0.733401, MSE, 0.258323
Iteration Times, 350, Error, 0.729155, MSE, 0.258106
Iteration Times, 351, Error, 0.717197, MSE, 0.257881
Iteration Times, 352, Error, 0.720473, MSE, 0.257660
Iteration Times, 353, Error, 0.712950, MSE, 0.257435
Iteration Times, 354, Error, 0.717532, MSE, 0.257215
Iteration Times, 355, Error, 0.701654, MSE, 0.256984
Iteration Times, 356, Error, 0.702912, MSE, 0.256756
Iteration Times, 357, Error, 0.704432, MSE, 0.256530
Iteration Times, 358, Error, 0.696145, MSE, 0.256300
Iteration Times, 359, Error, 0.688886, MSE, 0.256066
Iteration Times, 360, Error, 0.691612, MSE, 0.255835
Iteration Times, 361, Error, 0.683189, MSE, 0.255599
Iteration Times, 362, Error, 0.684813, MSE, 0.255366
Iteration Times, 363, Error, 0.671238, MSE, 0.255125
Iteration Times, 364, Error, 0.671955, MSE, 0.254885
Iteration Times, 365, Error, 0.678654, MSE, 0.254652
Iteration Times, 366, Error, 0.659761, MSE, 0.254407
Iteration Times, 367, Error, 0.661729, MSE, 0.254164
Iteration Times, 368, Error, 0.663022, MSE, 0.253924
Iteration Times, 369, Error, 0.651207, MSE, 0.253677
Iteration Times, 370, Error, 0.651267, MSE, 0.253432
Iteration Times, 371, Error, 0.652245, MSE, 0.253188
Iteration Times, 372, Error, 0.637128, MSE, 0.252936
Iteration Times, 373, Error, 0.639213, MSE, 0.252686
Iteration Times, 374, Error, 0.646736, MSE, 0.252443
Iteration Times, 375, Error, 0.628181, MSE, 0.252188
Iteration Times, 376, Error, 0.628883, MSE, 0.251936
Iteration Times, 377, Error, 0.628990, MSE, 0.251684
Iteration Times, 378, Error, 0.618988, MSE, 0.251428
Iteration Times, 379, Error, 0.617097, MSE, 0.251172
Iteration Times, 380, Error, 0.621609, MSE, 0.250920
Iteration Times, 381, Error, 0.608397, MSE, 0.250660
Iteration Times, 382, Error, 0.600260, MSE, 0.250397
Iteration Times, 383, Error, 0.603760, MSE, 0.250137
Iteration Times, 384, Error, 0.610935, MSE, 0.249884
Iteration Times, 385, Error, 0.592777, MSE, 0.249619
Iteration Times, 386, Error, 0.592611, MSE, 0.249357
Iteration Times, 387, Error, 0.583499, MSE, 0.249089
